region,facility_count
ASHANTI,5
ASHANTI REGION,1
Accra,13
Ahafo,1
Ahafo Ano South-East,1
Ahafo Region,1
Ashanti,27
Ashanti Region,15
Asutifi South,1
Bono,1
Bono East Region,2
Brong Ahafo,2
Brong Ahafo Region,2
Central,4
Central Ghana,1
Central Region,7
Central Tongu District,1
Dormaa East,1
East Legon,2
Eastern,2
Eastern Region,2
Ejisu Municipal,1
Ga East Municipality,1
"Ga East Municipality, Greater Accra Region",1
Ghana,2
Greater Accra,36
Greater Accra Region,10
KEEA,1
Ledzokuku-Krowor,1
Northern,4
Northern Region,5
Oti,1
Oti Region,2
SH,1
Savannah,1
"Shai Osudoku District, Greater Accra Region",1
Sissala West District,1
Takoradi,1
Techiman Municipal,1
Tema West Municipal,1
Upper East,1
Upper East Region,1
Upper West,2
Upper West Region,1
Volta,5
Volta Region,6
Western,23
Western North,1
Western North Region,2
Western Region,16
